grievance_id,created_at,channel,citizen_text,category,location,latitude,longitude,department,severity,urgency,public_impact,vulnerability,recurrence,priority_score,priority,status,duplicate_cluster_id,related_complaint_count,semantic_similarity,sentiment,sla_hours,recommended_action,actual_resolution_hours,systemic_cluster
GRV-1030,2026-07-18T23:15:00,Mobile App,Water pressure has been very low in Madhapur since 2 days. A school nearby may be affected.,Water Supply,Madhapur,17.449825,78.392667,Water Supply Department,7,7,7,6,9,72,High,In Progress,SYS-WATER-MADHAPUR,14,0.88,Negative,19,Initiate emergency tanker support,,Yes
GRV-1031,2026-07-30T00:27:00,Walk-in,Power has been out in our area for 2 hours. A pregnant resident may be affected.,Electricity,Gachibowli,17.438267,78.346911,Electricity Distribution Department,8,10,6,9,9,83,High,Assigned,SYS-POWER-GACHIBOWLI,24,0.87,Concerned,19,Dispatch line inspection team,,Yes
GRV-1032,2026-08-15T05:37:00,Call Center,A broken road section is causing traffic problems near Kukatpally. A child may be affected.,Roads,Kukatpally,17.488744,78.416461,GHMC Roads Department,9,10,6,9,8,84,High,In Progress,SYS-ROAD-KUKATPALLY,16,0.93,Urgent,60,Schedule pothole repair,,Yes
GRV-1033,2026-07-20T17:40:00,Web,Waste is piling up near residential buildings in Banjara Hills. A school nearby may be affected.,Sanitation,Banjara Hills,17.416193,78.434455,Sanitation Department,10,9,6,4,7,76,High,New,SYS-SANITATION-BANJARA,30,0.89,Negative,43,Escalate to sanitation supervisor,,Yes
GRV-1034,2026-08-13T14:03:00,Social Media,Power has been out in our area for 7 hours. A person with disability may be affected.,Electricity,Gachibowli,17.443693,78.345581,Electricity Distribution Department,8,5,5,9,10,72,High,New,SYS-POWER-GACHIBOWLI,28,0.79,Frustrated,6,Inspect transformer/feed line,,Yes
GRV-1035,2026-08-02T15:19:00,Social Media,Repeated complaints about the damaged road have not been resolved. A high-footfall public area may be affected.,Roads,Kukatpally,17.488581,78.410594,GHMC Roads Department,9,6,9,5,10,80,High,In Progress,SYS-ROAD-KUKATPALLY,26,0.84,Frustrated,48,Barricade hazardous section,,Yes
GRV-1036,2026-08-13T17:38:00,Mobile App,Transformer near Gachibowli appears overloaded and outages are frequent.,Electricity,Gachibowli,17.438405,78.347162,Electricity Distribution Department,6,6,6,6,7,62,Medium,Assigned,SYS-POWER-GACHIBOWLI,22,0.78,Urgent,17,Initiate emergency restoration,,Yes
GRV-1037,2026-08-11T23:09:00,Mobile App,Our apartment has not received drinking water for 1 days.,Water Supply,Madhapur,17.450641,78.39226,Water Supply Department,10,9,10,8,8,92,Critical,Resolved,SYS-WATER-MADHAPUR,15,0.8,Frustrated,14,Inspect local pipeline/network,3.4,Yes
GRV-1038,2026-08-02T18:47:00,Web,There is an open road crack/pothole near a school in Kukatpally.,Roads,Kukatpally,17.481631,78.417495,GHMC Roads Department,10,8,7,6,10,84,High,In Progress,SYS-ROAD-KUKATPALLY,9,0.8,Frustrated,32,Dispatch road inspection team,,Yes
GRV-1039,2026-08-02T22:40:00,Walk-in,Residents on our street are facing repeated water outages. A elderly resident may be affected.,Water Supply,Madhapur,17.446966,78.392861,Water Supply Department,6,8,9,9,10,80,High,Resolved,SYS-WATER-MADHAPUR,26,0.82,Concerned,21,Escalate to Zone Water Officer,15.9,Yes
GRV-1040,2026-07-20T06:49:00,Web,Water pipeline near Madhapur appears damaged and residents have no supply. A pregnant resident may be affected.,Water Supply,Madhapur,17.449561,78.391841,Water Supply Department,8,9,5,9,10,80,High,Resolved,SYS-WATER-MADHAPUR,18,0.84,Negative,18,Initiate emergency tanker support,22.6,Yes
GRV-1041,2026-07-27T14:28:00,Social Media,Residents on our street are facing repeated water outages. A hospital nearby may be affected.,Water Supply,Madhapur,17.450695,78.393178,Water Supply Department,8,10,8,9,7,84,High,New,SYS-WATER-MADHAPUR,12,0.83,Urgent,21,Inspect local pipeline/network,,Yes
GRV-1042,2026-07-27T18:32:00,Walk-in,Residents on our street are facing repeated water outages. A hospital nearby may be affected.,Water Supply,Madhapur,17.452142,78.38945,Water Supply Department,6,5,8,9,7,68,Medium,Assigned,SYS-WATER-MADHAPUR,30,0.88,Urgent,14,Escalate to Zone Water Officer,,Yes
GRV-1043,2026-07-26T17:52:00,Call Center,Repeated complaints about the damaged road have not been resolved. A residential community may be affected.,Roads,Kukatpally,17.4876,78.414439,GHMC Roads Department,6,5,7,8,10,69,Medium,Assigned,SYS-ROAD-KUKATPALLY,24,0.97,Concerned,12,Escalate to local engineering officer,,Yes
GRV-1044,2026-07-23T09:44:00,Mobile App,Water pipeline near Madhapur appears damaged and residents have no supply. A local shops may be affected.,Water Supply,Madhapur,17.451148,78.390786,Water Supply Department,7,7,9,8,10,80,High,In Progress,SYS-WATER-MADHAPUR,35,0.97,Frustrated,13,Inspect local pipeline/network,,Yes
GRV-1045,2026-07-29T11:55:00,Social Media,A damaged electric pole is creating a safety concern. A hospital nearby may be affected.,Electricity,Gachibowli,17.443384,78.345023,Electricity Distribution Department,10,10,6,9,10,90,Critical,Resolved,SYS-POWER-GACHIBOWLI,26,0.81,Negative,5,Inspect transformer/feed line,4.4,Yes
GRV-1046,2026-08-13T02:54:00,Call Center,No water supply in our locality for 4 days. A residential community may be affected.,Water Supply,Madhapur,17.449314,78.3946,Water Supply Department,7,7,9,7,10,78,High,Assigned,SYS-WATER-MADHAPUR,35,0.95,Negative,23,Initiate emergency tanker support,,Yes
GRV-1047,2026-08-16T18:40:00,Call Center,Power interruption has affected homes and local shops. A elderly resident may be affected.,Electricity,Gachibowli,17.443327,78.345268,Electricity Distribution Department,10,10,7,9,8,90,Critical,Resolved,SYS-POWER-GACHIBOWLI,11,0.87,Negative,24,Dispatch line inspection team,17.1,Yes
GRV-1048,2026-07-31T15:39:00,Social Media,Transformer near Gachibowli appears overloaded and outages are frequent. A residential community may be affected.,Electricity,Gachibowli,17.437245,78.348589,Electricity Distribution Department,6,9,8,6,8,73,High,New,SYS-POWER-GACHIBOWLI,27,0.82,Urgent,23,Escalate outage to field engineer,,Yes
GRV-1049,2026-08-09T09:19:00,Walk-in,No water supply in our locality for 4 days.,Water Supply,Madhapur,17.451062,78.389094,Water Supply Department,8,7,10,6,8,79,High,Escalated,SYS-WATER-MADHAPUR,19,0.87,Negative,19,Initiate emergency tanker support,,Yes
GRV-1050,2026-08-12T10:25:00,Web,A large pothole has formed near Kukatpally and is dangerous for vehicles. A person with disability may be affected.,Roads,Kukatpally,17.488185,78.415761,GHMC Roads Department,9,7,9,9,9,86,Critical,New,SYS-ROAD-KUKATPALLY,34,0.78,Concerned,29,Schedule pothole repair,,Yes
GRV-1051,2026-08-11T21:02:00,Call Center,Repeated complaints about the damaged road have not been resolved.,Roads,Kukatpally,17.486759,78.410521,GHMC Roads Department,6,10,6,6,9,72,High,Resolved,SYS-ROAD-KUKATPALLY,28,0.91,Urgent,31,Schedule pothole repair,3.5,Yes
GRV-1052,2026-08-04T21:51:00,Call Center,We are facing repeated power cuts in Gachibowli. A person with disability may be affected.,Electricity,Gachibowli,17.442534,78.348647,Electricity Distribution Department,9,7,9,9,9,86,Critical,Escalated,SYS-POWER-GACHIBOWLI,34,0.83,Urgent,11,Dispatch line inspection team,,Yes
GRV-1053,2026-08-03T17:23:00,Call Center,There is an open road crack/pothole near a school in Kukatpally.,Roads,Kukatpally,17.485576,78.416379,GHMC Roads Department,9,7,5,8,10,78,High,Escalated,SYS-ROAD-KUKATPALLY,11,0.83,Negative,55,Schedule pothole repair,,Yes
GRV-1054,2026-08-14T05:19:00,Mobile App,A damaged electric pole is creating a safety concern. A elderly resident may be affected.,Electricity,Gachibowli,17.436463,78.345198,Electricity Distribution Department,9,7,9,9,8,84,High,Assigned,SYS-POWER-GACHIBOWLI,22,0.91,Negative,22,Initiate emergency restoration,,Yes
GRV-1055,2026-07-19T13:53:00,Call Center,Water pressure has been very low in Madhapur since 1 days.,Water Supply,Madhapur,17.444562,78.390464,Water Supply Department,6,8,8,4,10,71,High,In Progress,SYS-WATER-MADHAPUR,28,0.96,Urgent,21,Initiate emergency tanker support,,Yes
GRV-1056,2026-07-20T13:54:00,Mobile App,Transformer near Gachibowli appears overloaded and outages are frequent. A elderly resident may be affected.,Electricity,Gachibowli,17.441234,78.349677,Electricity Distribution Department,10,7,9,9,9,89,Critical,New,SYS-POWER-GACHIBOWLI,14,0.86,Negative,16,Dispatch line inspection team,,Yes
GRV-1057,2026-07-29T08:49:00,Call Center,We are facing repeated power cuts in Gachibowli.,Electricity,Gachibowli,17.442967,78.346058,Electricity Distribution Department,9,6,5,8,8,73,High,Resolved,SYS-POWER-GACHIBOWLI,15,0.94,Urgent,6,Inspect transformer/feed line,6.2,Yes
GRV-1058,2026-07-22T18:16:00,Walk-in,Waste is piling up near residential buildings in Banjara Hills. A child may be affected.,Sanitation,Banjara Hills,17.415809,78.436665,Sanitation Department,5,6,5,9,9,64,Medium,New,SYS-SANITATION-BANJARA,8,0.9,Urgent,15,Escalate to sanitation supervisor,,Yes
GRV-1059,2026-07-17T22:30:00,Web,Power interruption has affected homes and local shops. A senior citizens may be affected.,Electricity,Gachibowli,17.440022,78.352178,Electricity Distribution Department,8,9,6,6,7,74,High,Assigned,SYS-POWER-GACHIBOWLI,8,0.87,Concerned,14,Dispatch line inspection team,,Yes
GRV-1060,2026-07-27T21:29:00,Web,Uncollected waste is creating foul smell and health concerns. A child may be affected.,Sanitation,Banjara Hills,17.417945,78.431615,Sanitation Department,6,7,9,9,9,77,High,In Progress,SYS-SANITATION-BANJARA,24,0.98,Frustrated,44,Increase collection frequency,,Yes
GRV-1061,2026-07-26T05:23:00,Walk-in,Water pressure has been very low in Madhapur since 4 days. A hospital nearby may be affected.,Water Supply,Madhapur,17.444837,78.394154,Water Supply Department,8,8,8,9,7,80,High,Escalated,SYS-WATER-MADHAPUR,29,0.87,Concerned,10,Dispatch field inspection team,,Yes
GRV-1062,2026-08-12T17:48:00,Call Center,Overflowing garbage bins are causing a hygiene issue.,Sanitation,Banjara Hills,17.416403,78.433513,Sanitation Department,9,5,9,6,9,78,High,Resolved,SYS-SANITATION-BANJARA,35,0.86,Negative,39,Increase collection frequency,42.7,Yes
GRV-1063,2026-08-08T06:49:00,Social Media,The road near Kukatpally has been damaged for 2 days.,Roads,Kukatpally,17.48111,78.417233,GHMC Roads Department,7,9,7,2,9,70,High,In Progress,SYS-ROAD-KUKATPALLY,35,0.94,Urgent,64,Schedule pothole repair,,Yes
GRV-1064,2026-07-18T07:09:00,Social Media,Transformer near Gachibowli appears overloaded and outages are frequent.,Electricity,Gachibowli,17.437821,78.348259,Electricity Distribution Department,7,7,7,2,8,64,Medium,Resolved,SYS-POWER-GACHIBOWLI,20,0.89,Urgent,22,Escalate outage to field engineer,4.8,Yes
GRV-1065,2026-08-13T02:05:00,Walk-in,Transformer near Gachibowli appears overloaded and outages are frequent.,Electricity,Gachibowli,17.439985,78.348436,Electricity Distribution Department,9,9,5,2,8,70,High,Assigned,SYS-POWER-GACHIBOWLI,9,0.93,Urgent,10,Escalate outage to field engineer,,Yes
GRV-1066,2026-08-09T21:03:00,Mobile App,No water supply in our locality for 2 days. A school nearby may be affected.,Water Supply,Madhapur,17.450439,78.393613,Water Supply Department,5,7,10,7,10,74,High,New,SYS-WATER-MADHAPUR,20,0.79,Concerned,6,Inspect local pipeline/network,,Yes
GRV-1067,2026-08-15T23:02:00,Web,Garbage has not been collected in Banjara Hills for 3 days. A residential community may be affected.,Sanitation,Banjara Hills,17.418497,78.435306,Sanitation Department,8,6,6,5,8,68,Medium,New,SYS-SANITATION-BANJARA,35,0.79,Concerned,39,Escalate to sanitation supervisor,,Yes
GRV-1068,2026-07-19T20:15:00,Social Media,Transformer near Gachibowli appears overloaded and outages are frequent. A child may be affected.,Electricity,Gachibowli,17.436729,78.351864,Electricity Distribution Department,5,7,6,9,10,70,High,In Progress,SYS-POWER-GACHIBOWLI,35,0.8,Concerned,15,Escalate outage to field engineer,,Yes
GRV-1069,2026-08-11T20:52:00,Mobile App,Water pressure has been very low in Madhapur since 2 days. A elderly resident may be affected.,Water Supply,Madhapur,17.446348,78.388888,Water Supply Department,10,5,9,9,8,84,High,New,SYS-WATER-MADHAPUR,34,0.85,Concerned,10,Escalate to Zone Water Officer,,Yes
GRV-1070,2026-07-28T19:09:00,Walk-in,Waste is piling up near residential buildings in Banjara Hills.,Sanitation,Banjara Hills,17.416651,78.437071,Sanitation Department,10,8,8,8,10,89,Critical,New,SYS-SANITATION-BANJARA,28,0.95,Concerned,40,Dispatch sanitation crew,,Yes
GRV-1071,2026-07-19T04:39:00,Social Media,No water supply in our locality for 3 days. A school nearby may be affected.,Water Supply,Madhapur,17.448735,78.393835,Water Supply Department,8,5,5,4,9,64,Medium,Assigned,SYS-WATER-MADHAPUR,35,0.91,Negative,22,Dispatch field inspection team,,Yes
GRV-1072,2026-08-05T20:41:00,Walk-in,Transformer near Gachibowli appears overloaded and outages are frequent. A high-footfall public area may be affected.,Electricity,Gachibowli,17.444028,78.349093,Electricity Distribution Department,9,6,5,5,7,67,Medium,New,SYS-POWER-GACHIBOWLI,10,0.98,Concerned,7,Inspect transformer/feed line,,Yes
GRV-1073,2026-08-08T03:43:00,Social Media,Overflowing garbage bins are causing a hygiene issue. A hospital nearby may be affected.,Sanitation,Banjara Hills,17.418586,78.433367,Sanitation Department,7,10,9,9,7,83,High,Assigned,SYS-SANITATION-BANJARA,11,0.79,Concerned,36,Increase collection frequency,,Yes
GRV-1074,2026-08-14T07:53:00,Walk-in,Water pipeline near Madhapur appears damaged and residents have no supply. A child may be affected.,Water Supply,Madhapur,17.448368,78.387646,Water Supply Department,10,5,7,9,10,82,High,New,SYS-WATER-MADHAPUR,29,0.94,Concerned,22,Inspect local pipeline/network,,Yes
GRV-1075,2026-07-19T15:32:00,Web,Overflowing garbage bins are causing a hygiene issue.,Sanitation,Banjara Hills,17.416895,78.437711,Sanitation Department,8,6,6,3,8,64,Medium,Resolved,SYS-SANITATION-BANJARA,33,0.84,Negative,46,Increase collection frequency,61.2,Yes
GRV-1076,2026-08-15T00:15:00,Walk-in,The road near Kukatpally has been damaged for 5 days. A child may be affected.,Roads,Kukatpally,17.482772,78.411713,GHMC Roads Department,10,9,6,9,10,88,Critical,In Progress,SYS-ROAD-KUKATPALLY,29,0.86,Negative,40,Escalate to local engineering officer,,Yes
GRV-1077,2026-07-22T05:52:00,Call Center,A broken road section is causing traffic problems near Kukatpally.,Roads,Kukatpally,17.481317,78.413645,GHMC Roads Department,9,8,8,8,9,84,High,Resolved,SYS-ROAD-KUKATPALLY,21,0.88,Frustrated,24,Schedule pothole repair,6.7,Yes
GRV-1078,2026-07-24T19:52:00,Walk-in,Repeated complaints about the damaged road have not been resolved.,Roads,Kukatpally,17.481326,78.413816,GHMC Roads Department,7,5,6,4,10,64,Medium,Resolved,SYS-ROAD-KUKATPALLY,10,0.95,Urgent,40,Barricade hazardous section,56.0,Yes
GRV-1079,2026-08-04T11:44:00,Social Media,Overflowing garbage bins are causing a hygiene issue. A person with disability may be affected.,Sanitation,Banjara Hills,17.411642,78.431334,Sanitation Department,7,5,10,9,9,78,High,Resolved,SYS-SANITATION-BANJARA,17,0.81,Urgent,20,Inspect waste accumulation point,15.1,Yes
GRV-1080,2026-07-25T12:26:00,Web,Repeated complaints about the damaged road have not been resolved.,Roads,Kukatpally,17.487594,78.413799,GHMC Roads Department,9,9,8,2,9,78,High,Resolved,SYS-ROAD-KUKATPALLY,9,0.84,Urgent,52,Dispatch road inspection team,36.7,Yes
GRV-1081,2026-07-23T07:42:00,Call Center,Residents on our street are facing repeated water outages. A person with disability may be affected.,Water Supply,Madhapur,17.444841,78.391708,Water Supply Department,6,7,8,9,7,72,High,In Progress,SYS-WATER-MADHAPUR,21,0.83,Concerned,8,Dispatch field inspection team,,Yes
GRV-1082,2026-08-12T08:40:00,Call Center,A large pothole has formed near Kukatpally and is dangerous for vehicles.,Roads,Kukatpally,17.481967,78.412618,GHMC Roads Department,7,7,10,2,9,72,High,Resolved,SYS-ROAD-KUKATPALLY,31,0.85,Negative,18,Schedule pothole repair,20.4,Yes
GRV-1083,2026-07-16T21:18:00,Mobile App,Water pipeline near Madhapur appears damaged and residents have no supply.,Water Supply,Madhapur,17.451386,78.390025,Water Supply Department,8,10,6,8,8,80,High,New,SYS-WATER-MADHAPUR,22,0.92,Negative,12,Inspect local pipeline/network,,Yes
GRV-1084,2026-07-26T23:07:00,Walk-in,Power interruption has affected homes and local shops. A residential community may be affected.,Electricity,Gachibowli,17.442046,78.352057,Electricity Distribution Department,5,10,6,4,9,66,Medium,Assigned,SYS-POWER-GACHIBOWLI,18,0.95,Negative,13,Initiate emergency restoration,,Yes
GRV-1085,2026-07-23T00:34:00,Web,A damaged electric pole is creating a safety concern.,Electricity,Gachibowli,17.438723,78.347265,Electricity Distribution Department,7,9,7,8,7,76,High,Assigned,SYS-POWER-GACHIBOWLI,27,0.8,Frustrated,11,Initiate emergency restoration,,Yes
GRV-1086,2026-07-17T18:04:00,Mobile App,Water pressure has been very low in Madhapur since 5 days.,Water Supply,Madhapur,17.451922,78.388642,Water Supply Department,7,8,5,7,9,71,High,Assigned,SYS-WATER-MADHAPUR,33,0.83,Frustrated,18,Initiate emergency tanker support,,Yes
GRV-1087,2026-08-03T12:23:00,Web,Power has been out in our area for 6 hours. A person with disability may be affected.,Electricity,Gachibowli,17.440691,78.349136,Electricity Distribution Department,10,7,7,9,10,86,Critical,Assigned,SYS-POWER-GACHIBOWLI,29,0.9,Negative,13,Initiate emergency restoration,,Yes
GRV-1088,2026-08-14T08:28:00,Walk-in,The road near Kukatpally has been damaged for 3 days.,Roads,Kukatpally,17.482501,78.410886,GHMC Roads Department,5,10,6,5,10,70,High,Resolved,SYS-ROAD-KUKATPALLY,16,0.83,Negative,25,Dispatch road inspection team,12.1,Yes
GRV-1089,2026-07-22T01:45:00,Web,Water pipeline near Madhapur appears damaged and residents have no supply.,Water Supply,Madhapur,17.452181,78.393837,Water Supply Department,10,7,10,4,7,80,High,Resolved,SYS-WATER-MADHAPUR,35,0.96,Concerned,11,Escalate to Zone Water Officer,9.4,Yes
GRV-1090,2026-08-14T22:46:00,Walk-in,Power has been out in our area for 17 hours. A school nearby may be affected.,Electricity,Gachibowli,17.442687,78.34549,Electricity Distribution Department,9,7,8,8,8,81,High,In Progress,SYS-POWER-GACHIBOWLI,20,0.79,Negative,17,Escalate outage to field engineer,,Yes
GRV-1091,2026-07-17T16:53:00,Call Center,There is an open road crack/pothole near a school in Kukatpally. A residential community may be affected.,Roads,Kukatpally,17.482217,78.412381,GHMC Roads Department,9,7,6,8,8,77,High,In Progress,SYS-ROAD-KUKATPALLY,35,0.87,Urgent,19,Barricade hazardous section,,Yes
GRV-1092,2026-08-07T02:05:00,Social Media,Our apartment has not received drinking water for 3 days.,Water Supply,Madhapur,17.451833,78.388734,Water Supply Department,7,6,10,6,9,76,High,In Progress,SYS-WATER-MADHAPUR,27,0.91,Urgent,22,Inspect local pipeline/network,,Yes
